Csv name,Generator,Algorithm,Time,Averge Memory,Max memory,Min memory,Numbers sorted,Min Val,Max Val,Issorted

MEMORY_A0,basicgenerator,heapsort,1.474670648574829,31.091517857142858,31.0859375,31.10546875,10,0,100,True

MEMORY_A1,basicgenerator,radixsort,1.4733085632324219,31.1298828125,31.12109375,31.140625,100,0,1000,True

MEMORY_A2,basicgenerator,selectionsort,0.6730184555053711,31.1421875,31.13671875,31.15625,1000,0,10000,True

MEMORY_A3,basicgenerator,bubblesort,5.47301721572876,32.359375,32.359375,32.36328125,10000,0,100000,True

MEMORY_A4,basicgenerator,heapsort,1.5842761993408203,35.88852163461539,35.890625,35.90625,100000,0,1000000,True

MEMORY_A5,basicgenerator,heapsort,10.746508359909058,70.27810889175258,70.265625,70.28125,1000000,0,10000000,True

MEMORY_B0,almostsorted,bubblesort,1.362710952758789,31.188058035714285,31.18359375,31.19921875,10,0,100,True

MEMORY_B1,almostsorted,countingsort,1.234100103378296,31.34722222222222,31.33984375,31.35546875,100,0,1000,True

MEMORY_B2,almostsorted,radixsort,1.2595527172088623,31.48408348880597,31.4765625,31.49609375,1000,0,10000,True

MEMORY_B3,almostsorted,selectionsort,3.1407032012939453,32.31724330357143,32.3203125,32.32421875,10000,0,100000,True

MEMORY_B4,almostsorted,heapsort,1.4291656017303467,36.00568181818182,36.01953125,36.03125,100000,0,1000000,True

MEMORY_B5,almostsorted,insertionsort,0.9651210308074951,70.83522727272727,70.82421875,70.83984375,1000000,0,10000000,True

MEMORY_C0,sortedlist,insertionsort,1.2662959098815918,31.064174107142858,31.05859375,31.078125,10,0,100,True

MEMORY_C1,sortedlist,selectionsort,1.593407154083252,31.10592830882353,31.09375,31.11328125,100,0,1000,True

MEMORY_C2,sortedlist,radixsort,1.340994119644165,31.470955141129032,31.45703125,31.4765625,1000,0,10000,True

MEMORY_C3,sortedlist,heapsort,0.8045964241027832,32.164713541666664,32.15234375,32.1796875,10000,0,100000,True

MEMORY_C4,sortedlist,insertionsort,1.3798699378967285,36.22237639925373,36.203125,36.22265625,100000,0,1000000,True

MEMORY_C5,sortedlist,insertionsort,1.0072143077850342,72.50618489583333,72.4921875,72.51171875,1000000,0,10000000,True

MEMORY_D0,reversesorted,quicksortright,1.2407972812652588,31.137462797619047,31.08203125,31.171875,10,0,100,True

MEMORY_D1,reversesorted,radixsort,1.2403712272644043,31.077799479166668,31.06640625,31.0859375,100,0,1000,True

MEMORY_D2,reversesorted,insertionsort,1.2589964866638184,31.24579326923077,31.234375,31.25390625,1000,0,10000,True

MEMORY_D3,reversesorted,bubblesort,3.5558948516845703,32.404052734375,32.40625,32.41015625,10000,0,100000,True

MEMORY_D4,reversesorted,insertionsort,1.0146353244781494,36.48046875,36.47265625,36.4921875,100000,0,1000000,True

MEMORY_D5,reversesorted,heapsort,9.535528898239136,70.78134084302326,70.7734375,70.78515625,1000000,0,10000000,True

MEMORY_E0,repetitive,countingsort,1.2433903217315674,31.137834821428573,31.1328125,31.1484375,10,0,100,True

MEMORY_E1,repetitive,radixsort,1.5444142818450928,31.214518229166668,31.203125,31.22265625,100,0,1000,True

MEMORY_E2,repetitive,radixsort,1.3369691371917725,31.158828125,31.14453125,31.1640625,1000,0,10000,True

MEMORY_E3,repetitive,heapsort,0.8816404342651367,32.04921875,32.0390625,32.06640625,10000,0,100000,True

MEMORY_E4,repetitive,radixsort,0.6646795272827148,37.075520833333336,35.81640625,37.94140625,100000,0,1000000,True

MEMORY_E5,repetitive,heapsort,7.811084032058716,70.63963468309859,70.62890625,70.64453125,1000000,0,10000000,True

MEMORY_F0,floatlist,insertionsort,1.3626880645751953,31.079241071428573,31.07421875,31.08984375,10,0,100,True

MEMORY_F1,floatlist,selectionsort,1.3414137363433838,31.08154296875,31.0703125,31.0859375,100,0,1000,True

MEMORY_F2,floatlist,selectionsort,1.3851327896118164,31.48032823741007,31.4609375,31.48046875,1000,0,10000,True

MEMORY_F3,floatlist,quicksortright,2.354689836502075,34.778645833333336,34.5,34.94921875,10000,0,100000,True

MEMORY_F4,floatlist,heapsort,1.2222626209259033,44.4375,44.4453125,44.4609375,100000,0,1000000,True

MEMORY_F5,floatlist,heapsort,10.714021444320679,140.0394212372449,140.02734375,140.04296875,1000000,0,10000000,True

MEMORY_G0,subunitarylist,selectionsort,1.2728848457336426,31.0888671875,31.08203125,31.1015625,10,0,100,True

MEMORY_G1,subunitarylist,bubblesort,1.2418830394744873,31.134650735294116,31.12109375,31.140625,100,0,1000,True

MEMORY_G2,subunitarylist,heapsort,1.2660572528839111,31.221296296296295,31.19921875,31.22265625,1000,0,10000,True

MEMORY_G3,subunitarylist,heapsort,0.7474124431610107,33.135044642857146,33.12109375,33.1484375,10000,0,100000,True

MEMORY_G4,subunitarylist,heapsort,1.170067548751831,43.459201388888886,43.4765625,43.4921875,100000,0,1000000,True

MEMORY_G5,subunitarylist,heapsort,11.11640214920044,145.8433984375,145.828125,145.84765625,1000000,0,10000000,True

MEMORY_U0,basicgenerator,insertionsort,1.657057285308838,31.123325892857142,31.1171875,31.13671875,10,0,1000000000,True

MEMORY_U1,basicgenerator,selectionsort,1.482011318206787,31.087565104166668,31.078125,31.09375,100,0,1000000000,True

MEMORY_U2,basicgenerator,selectionsort,1.2439265251159668,31.216145833333332,31.20703125,31.2265625,1000,0,1000000000,True

MEMORY_U3,basicgenerator,heapsort,0.89198899269104,32.337239583333336,32.32421875,32.3515625,10000,0,1000000000,True

MEMORY_U4,basicgenerator,heapsort,1.2473535537719727,35.64609375,35.66015625,35.67578125,100000,0,1000000000,True

MEMORY_U5,basicgenerator,heapsort,10.569629907608032,70.50821940104167,70.5,70.51171875,1000000,0,1000000000,True

MEMORY_V0,almostsorted,radixsort,1.477738380432129,31.01220703125,31.00390625,31.0234375,10,0,1000000000,True

MEMORY_V1,almostsorted,radixsort,1.4927358627319336,31.132421875,31.1171875,31.13671875,100,0,1000000000,True

MEMORY_V2,almostsorted,heapsort,1.4878549575805664,31.369773327464788,31.34765625,31.37109375,1000,0,1000000000,True

MEMORY_V3,almostsorted,heapsort,0.9175174236297607,32.298177083333336,32.28515625,32.3125,10000,0,1000000000,True

MEMORY_V4,almostsorted,heapsort,1.1853415966033936,35.803125,35.81640625,35.83203125,100000,0,1000000000,True

MEMORY_V5,almostsorted,heapsort,8.874564170837402,70.453125,70.4453125,70.45703125,1000000,0,1000000000,True

MEMORY_W0,sortedlist,selectionsort,1.2811803817749023,31.092633928571427,31.0859375,31.1015625,10,0,1000000000,True

MEMORY_W1,sortedlist,selectionsort,1.232034683227539,31.145909926470587,31.1328125,31.15234375,100,0,1000000000,True

MEMORY_W2,sortedlist,bubblesort,0.7405917644500732,31.3234375,31.31640625,31.3359375,1000,0,1000000000,True

MEMORY_W3,sortedlist,heapsort,0.7756161689758301,32.163504464285715,32.1484375,32.17578125,10000,0,1000000000,True

MEMORY_W4,sortedlist,heapsort,1.0590651035308838,36.661892361111114,36.671875,36.6875,100000,0,1000000000,True

MEMORY_W5,sortedlist,heapsort,9.02793264389038,70.90977515243902,70.8984375,70.9140625,1000000,0,1000000000,True

MEMORY_X0,reversesorted,bubblesort,1.2762627601623535,31.092075892857142,31.0859375,31.10546875,10,0,1000000000,True

MEMORY_X1,reversesorted,insertionsort,1.2529582977294922,31.111328125,31.10546875,31.12109375,100,0,1000000000,True

MEMORY_X2,reversesorted,heapsort,1.2455403804779053,31.1069931402439,31.0859375,31.109375,1000,0,1000000000,True

MEMORY_X3,reversesorted,heapsort,0.7456157207489014,32.462239583333336,32.44921875,32.4765625,10000,0,1000000000,True

MEMORY_X4,reversesorted,heapsort,1.0808172225952148,35.645703125,35.66015625,35.67578125,100000,0,1000000000,True

MEMORY_X5,reversesorted,heapsort,9.043747663497925,70.5933212652439,70.58203125,70.59765625,1000000,0,1000000000,True

MEMORY_Y0,repetitive,heapsort,1.2218186855316162,31.1328125,31.125,31.14453125,10,0,1000000000,True

MEMORY_Y1,repetitive,bubblesort,1.2494118213653564,31.160888671875,31.1484375,31.16796875,100,0,1000000000,True

MEMORY_Y2,repetitive,bubblesort,0.7087056636810303,31.0890625,31.08203125,31.1015625,1000,0,1000000000,True

MEMORY_Y3,repetitive,heapsort,0.731374979019165,32.130208333333336,32.1171875,32.14453125,10000,0,1000000000,True

MEMORY_Y4,repetitive,heapsort,1.085296392440796,36.45225694444444,36.46484375,36.4765625,100000,0,1000000000,True

MEMORY_Y5,repetitive,heapsort,8.142247438430786,70.8359375,70.82421875,70.83984375,1000000,0,1000000000,True

MEMORY_Z0,floatlist,insertionsort,1.2489166259765625,31.189174107142858,31.18359375,31.203125,10,0,1000000000,True

MEMORY_Z1,floatlist,insertionsort,1.254746913909912,31.029296875,31.0234375,31.0390625,100,0,1000000000,True

MEMORY_Z2,floatlist,selectionsort,0.7007293701171875,31.22265625,31.21875,31.234375,1000,0,1000000000,True

MEMORY_Z3,floatlist,heapsort,0.7743632793426514,34.186941964285715,34.171875,34.19921875,10000,0,1000000000,True

MEMORY_Z4,floatlist,heapsort,1.0007460117340088,43.013020833333336,43.03125,43.04296875,100000,0,1000000000,True

MEMORY_Z5,floatlist,heapsort,10.887683391571045,139.66504892676767,139.65234375,139.66796875,1000000,0,1000000000,True

END,END,END
